epoch,accuracy,loss,val_accuracy,val_loss
0,0.27916666865348816,1.1129990816116333,0.375,1.075918197631836
1,0.4333333373069763,1.0729870796203613,0.8125,1.0407836437225342
2,0.5041666626930237,1.0144215822219849,0.5,0.9720050692558289
3,0.762499988079071,0.8330976963043213,0.8125,0.6642926335334778
4,0.8999999761581421,0.4602499008178711,1.0,0.23699013888835907
5,0.9750000238418579,0.20490431785583496,1.0,0.1561249941587448
6,0.9791666865348816,0.1339978575706482,1.0,0.07884529232978821
7,0.9708333611488342,0.11845316737890244,1.0,0.10073067247867584
8,0.9708333611488342,0.13493980467319489,1.0,0.07840019464492798
9,1.0,0.08494313061237335,1.0,0.05658149719238281
10,1.0,0.06809112429618835,1.0,0.05101277306675911
11,1.0,0.057083629071712494,1.0,0.0709848627448082
12,1.0,0.05260269716382027,1.0,0.045081041753292084
13,1.0,0.04814259707927704,1.0,0.03783063590526581
14,1.0,0.04430936649441719,1.0,0.04224503040313721
15,1.0,0.04378702491521835,1.0,0.038501396775245667
16,1.0,0.04047368839383125,1.0,0.03804226964712143
17,1.0,0.038823019713163376,1.0,0.04208272323012352
18,1.0,0.03714902698993683,1.0,0.03709113597869873
19,1.0,0.03568135201931,1.0,0.03891152888536453
20,1.0,0.034843795001506805,1.0,0.036917202174663544
21,1.0,0.03270769491791725,1.0,0.035424426198005676
22,1.0,0.030931472778320312,1.0,0.034149352461099625
23,1.0,0.0303155817091465,1.0,0.030498921871185303
24,1.0,0.029604526236653328,1.0,0.03275074437260628
25,1.0,0.029143590480089188,1.0,0.032255545258522034
26,1.0,0.02754403091967106,1.0,0.026552986353635788
27,1.0,0.026685059070587158,1.0,0.031283654272556305
28,1.0,0.02594229392707348,1.0,0.026976365596055984
29,1.0,0.02565016597509384,1.0,0.023901812732219696
