epoch,accuracy,loss,val_accuracy,val_loss
0,0.512499988079071,0.9733611345291138,0.75,0.5954439640045166
1,0.6499999761581421,0.6780592203140259,0.5,0.7548894882202148
2,0.793749988079071,0.5008816719055176,0.8125,0.5696521401405334
3,0.9125000238418579,0.32991576194763184,0.9375,0.3500441908836365
4,0.96875,0.1856149137020111,0.875,0.33785054087638855
5,1.0,0.0993611291050911,0.9375,0.298907607793808
6,1.0,0.06709688156843185,0.9375,0.27084824442863464
7,1.0,0.055518098175525665,0.9375,0.23981423676013947
8,1.0,0.05116564780473709,0.9375,0.33923423290252686
9,1.0,0.04369751363992691,0.9375,0.1927471160888672
10,1.0,0.04185919091105461,0.9375,0.27651360630989075
11,1.0,0.04016302898526192,0.9375,0.23992832005023956
12,1.0,0.037645693868398666,0.9375,0.2170758992433548
13,1.0,0.037500981241464615,0.9375,0.22122222185134888
14,1.0,0.0363316610455513,0.9375,0.22290045022964478
15,1.0,0.03512946888804436,0.9375,0.1946268379688263
16,1.0,0.034816380590200424,0.9375,0.1937759816646576
17,1.0,0.03390168398618698,0.9375,0.1905783861875534
18,1.0,0.03292485699057579,0.9375,0.16261279582977295
19,1.0,0.032378580421209335,0.9375,0.19047442078590393
20,1.0,0.03193138167262077,0.9375,0.15158885717391968
21,1.0,0.031552787870168686,0.9375,0.18876947462558746
22,1.0,0.030851000919938087,0.9375,0.16004183888435364
23,1.0,0.030162330716848373,0.9375,0.17852604389190674
24,1.0,0.029835576191544533,0.9375,0.16791346669197083
25,1.0,0.02934490516781807,1.0,0.030850186944007874
26,1.0,0.02878478169441223,0.9375,0.16405154764652252
27,1.0,0.028426608070731163,0.9375,0.17815010249614716
28,1.0,0.02770002745091915,0.9375,0.18086539208889008
29,1.0,0.02743770182132721,0.9375,0.16969804465770721
