epoch,accuracy,loss,val_accuracy,val_loss
0,0.3499999940395355,1.1282280683517456,0.1875,1.1418641805648804
1,0.48750001192092896,1.0790680646896362,0.625,1.064236044883728
2,0.5375000238418579,1.0490400791168213,0.5,1.0564230680465698
3,0.675000011920929,0.9791976809501648,0.8125,0.9557459354400635
4,0.6812499761581421,0.8419343829154968,0.375,0.9666309952735901
5,0.75,0.7007555961608887,0.5625,0.7866705656051636
6,0.7437499761581421,0.6068466305732727,0.5625,0.7819682955741882
7,0.8062499761581421,0.467402845621109,0.8125,0.4297698438167572
8,0.9312499761581421,0.3220808207988739,0.8125,0.4529157280921936
9,0.9937499761581421,0.2349051982164383,0.9375,0.2670406997203827
10,0.9937499761581421,0.16745230555534363,0.9375,0.20614969730377197
11,0.9937499761581421,0.11700519174337387,1.0,0.1629912108182907
12,1.0,0.09087477624416351,0.9375,0.2039669156074524
13,1.0,0.07467451691627502,1.0,0.12681348621845245
14,1.0,0.0735737755894661,1.0,0.10781021416187286
15,1.0,0.06521043926477432,1.0,0.11677712947130203
16,1.0,0.06728178262710571,1.0,0.09365765750408173
17,1.0,0.06043030694127083,1.0,0.10942289233207703
18,1.0,0.05463971570134163,1.0,0.078994020819664
19,1.0,0.05036072060465813,1.0,0.10684720426797867
20,1.0,0.05174335092306137,1.0,0.06733736395835876
21,1.0,0.04620261862874031,1.0,0.07371486723423004
22,1.0,0.0441155731678009,1.0,0.07785627990961075
23,1.0,0.04550306871533394,1.0,0.05923891067504883
24,1.0,0.04116671532392502,1.0,0.07760907709598541
25,1.0,0.040404241532087326,1.0,0.059338510036468506
26,1.0,0.03924388810992241,1.0,0.0514366552233696
27,1.0,0.03606723994016647,1.0,0.04176361486315727
28,1.0,0.036838412284851074,1.0,0.0603177472949028
29,1.0,0.03504703566431999,1.0,0.052247680723667145
