epoch,accuracy,loss,val_accuracy,val_loss
0,0.675000011920929,0.747024416923523,0.875,0.43495720624923706
1,0.8812500238418579,0.3380871117115021,0.8125,0.3987500071525574
2,0.9750000238418579,0.15120553970336914,0.9375,0.2495025098323822
3,1.0,0.0727381631731987,1.0,0.08082587271928787
4,1.0,0.05307508260011673,0.9375,0.13407555222511292
5,1.0,0.04391894489526749,0.9375,0.1568443924188614
6,1.0,0.03930588811635971,0.9375,0.11364977806806564
7,1.0,0.03713097423315048,0.9375,0.1558481901884079
8,1.0,0.034630730748176575,0.9375,0.12337659299373627
9,1.0,0.03414935618638992,0.9375,0.1251171976327896
10,1.0,0.03257715329527855,0.9375,0.11325866729021072
11,1.0,0.03145786374807358,0.9375,0.11757571995258331
12,1.0,0.03034805692732334,0.9375,0.10152646154165268
13,1.0,0.02935865893959999,0.9375,0.13119612634181976
14,1.0,0.028739938512444496,0.9375,0.11269511282444
15,1.0,0.027622397989034653,0.9375,0.10111913084983826
16,1.0,0.027210617437958717,0.9375,0.13589102029800415
17,1.0,0.026572665199637413,0.9375,0.09873143583536148
18,1.0,0.02613827958703041,0.9375,0.10807348042726517
19,1.0,0.02561078406870365,0.9375,0.10684366524219513
20,1.0,0.02496485970914364,1.0,0.029461104422807693
21,1.0,0.024763096123933792,0.9375,0.09440143406391144
22,1.0,0.024397192522883415,0.9375,0.10751423239707947
23,1.0,0.02376079186797142,0.9375,0.10325296223163605
24,1.0,0.023492515087127686,0.9375,0.11050648987293243
25,1.0,0.02322678454220295,0.9375,0.08756256103515625
26,1.0,0.022976677864789963,0.9375,0.10673375427722931
27,1.0,0.022489625960588455,0.9375,0.11811995506286621
28,1.0,0.02195550687611103,0.9375,0.1026926040649414
29,1.0,0.021937457844614983,0.9375,0.10434732586145401
